,symbol,priceChange,priceChangePercent,lastPrice
1558,XECBUSD,2.55e-06,4.521,5.895e-05
1432,ARBTC,2.1e-06,0.366,0.0005756
1399,BARBTC,1.9e-06,1.403,0.0001373
1111,INJBTC,1.8e-06,1.813,0.0001011
498,MATICBTC,1.72e-06,6.305,2.9e-05
1288,UFTETH,1.7e-06,1.846,9.38e-05
1680,SHIBAUD,1.41e-06,6.441,2.33e-05
513,PHBBTC,1.07e-06,28.084,4.88e-06
1420,SHIBBUSD,1.03e-06,6.754,1.628e-05
59,ETCBTC,1e-06,0.131,0.000767
1427,SHIBEUR,9.7e-07,6.694,1.546e-05
2026,NEXOBTC,9.4e-07,1.7,5.624e-05
1912,BTTCTRY,9.1e-07,4.088,2.317e-05
1063,SCRTBTC,8.7e-07,0.961,9.143e-05
2036,SHIBGBP,8.6e-07,6.947,1.324e-05
1562,MINABTC,8.5e-07,1.824,4.745e-05
1785,RNDRBTC,8e-07,2.156,3.79e-05
1472,WINBUSD,7e-07,0.341,0.0002057
84,TRXETH,6.5e-07,1.956,3.388e-05
1273,SFPBTC,4.7e-07,2.771,1.743e-05
1889,JASMYETH,4.5e-07,7.414,6.52e-06
90,XRPBTC,4.3e-07,2.664,1.657e-05
270,ZILETH,3.8e-07,1.307,2.945e-05
501,ATOMBTC,3e-07,0.066,0.0004544
1455,AGIXBTC,2.4e-07,10.084,2.62e-06
381,POLYBTC,2.3e-07,2.764,8.55e-06
713,WRXBTC,2.2e-07,1.89,1.186e-05
1123,CTKBTC,2.1e-07,0.725,2.918e-05
1285,CAKEBTC,2e-07,0.106,0.0001888
463,ONGBTC,1.7e-07,1.115,1.542e-05
171,ADABTC,1.5e-07,0.731,2.068e-05
1074,UTKBTC,1e-07,1.976,5.16e-06
294,GRSBTC,8e-08,0.532,1.512e-05
19,WTCBTC,5e-08,0.69,7.3e-06
1910,BTTCUSDT,4e-08,2.778,1.48e-06
1045,OXTBTC,3e-08,0.599,5.04e-06
1255,TWTBTC,2e-08,0.081,2.473e-05
338,QKCETH,1e-08,0.167,6e-06
1388,BTGBUSD,0.0,0.0,23.31
50,MDABTC,-1e-08,-0.124,8.03e-06
